_characterName,_level,_maxHp,_hp,_hpRegen,_attackPower,_moveSpeed,_defense,_criticalChance,_criticalDamage,,D:\Create\Unity\Projects\LOOPWARE\Assets\Resources\Data
ANVA,1,100,100,2,10,5,2,10,1.5,,
V45,1,50,50,1,15,8,0,10,2,,
Egger,1,150,150,3,8,3,3,10,1.5,,
Uncrypt,1,120,120,2,10,5,3,10,1.5,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Canler,1,10,10,0,5,0.5,0,10,1.5,,
Aimer,1,10,10,0,5,0,0,10,1.5,,
Chaser,1,10,10,1,5,2,1,10,1.5,,
Melit,1,20,20,1,10,3,0,10,2,,
CryTo,1,20,20,0,0,2,0,0,0,,
Emot,1,20,120,2,10,5,1,10,1.5,,
LUVYOU,1,15,15,1,4,3,0,10,1.5,,
